Gene symbol,untreated,untreated,untreated,prednisolone-treated,prednisolone-treated,prednisolone-treated
Gm16088,5.291859,5.294224,5.5418,5.135552,5.603866,5.221867
Gm26206,6.830418,7.642061,7.045378,6.248762,6.615719,7.127916
Gm1992,5.056403,4.845219,4.752563,4.329185,4.874127,4.458357
Gm10568,4.276458,4.185267,4.39771,4.668164,4.355698,4.366681
Gm22307,15.63665,15.88195,15.78839,14.50439,15.31287,15.4432
Gm16041,4.086013,3.715496,4.032996,3.774427,3.517976,3.90841
Gm17101,4.765925,4.3982,4.526255,4.792427,4.226486,4.120933
Atp6v1h,9.289231,9.545444,9.457183,9.234051,8.848833,9.17424
Oprk1,4.200969,4.660175,4.009042,4.284076,4.272292,4.225149
Rb1cc1,10.69351,10.49567,10.61126,10.9348,10.88937,10.6919
Fam150a,3.776761,4.394773,3.980947,3.939439,4.121951,4.166751
St18,5.29282,5.390905,5.198447,5.48246,5.242133,5.404572
Pcmtd1,10.9594,10.38797,10.5963,11.08574,10.97586,10.82835
Gm9826,6.025393,6.347023,6.084305,6.862841,6.653242,6.731819
Gm23274,5.473988,5.469365,5.989878,5.539791,5.448029,5.581146
Gm24276,7.713805,8.302465,8.304953,8.981943,8.585375,9.122156
Gm24765,6.020482,5.329103,5.478692,5.614883,5.521483,5.47231
Rrs1,6.948379,6.680255,7.095185,6.699205,6.492092,6.562021
Adhfe1,8.50487,8.110733,8.635213,9.575951,9.403884,9.469186
Gm6161,14.45362,14.8316,14.74636,13.88028,13.78873,14.49898
3110035E14Rik,4.684945,4.448466,4.539864,4.771739,4.829999,4.633263
1700034P13Rik,4.254745,4.429286,4.30194,4.167787,4.178113,4.279657
Sgk3,7.578074,8.018682,7.880561,7.30864,7.233146,7.38161
Mcmdc2,4.344443,4.27001,4.417737,4.338336,4.212669,4.108171
Gm15818,4.198396,4.39313,4.506708,4.220186,4.957316,4.62373
Cspp1,7.25548,7.315292,7.274512,7.212945,7.106242,7.156974
Gm26348,5.403344,4.8901,5.608671,4.771874,5.231586,4.840567
Gm15603,5.193745,5.461102,5.264043,5.33606,5.247349,5.675913
Gm22963,5.024887,5.594438,5.369582,5.712377,5.464875,5.553777
Prex2,10.08386,9.07198,10.40416,9.532241,9.188023,9.181184
A830018L16Rik,5.050194,5.016705,4.999073,5.146138,5.054471,4.999661
Gm22633,13.87914,13.93295,13.89459,12.82122,13.60137,13.7319
Mir6341,3.758034,3.486839,3.783062,3.515983,3.704273,3.647077
Gm2383,16.4106,16.3967,16.32546,16.87465,16.75737,16.62282
Gm6216,6.020998,6.028804,6.156796,6.974899,7.236865,6.550671
Gm17644,4.11669,3.571709,3.57085,3.584452,4.186101,3.964632
Sulf1,9.894515,10.09917,10.89684,9.437967,9.399444,9.378937
Gm5250,4.237503,4.333462,4.056582,4.375755,4.720891,4.35898
Xkr9,4.414094,4.385125,4.54965,4.760881,4.785584,4.692244
Gm25491,4.59267,4.70604,4.511582,4.119252,4.889546,4.968141
Gm22616,17.06233,16.7326,16.99047,17.24082,17.31927,17.19439
Gm9947,6.24096,5.91011,6.041751,6.423533,6.313344,6.177894
Rpl5-ps1,16.14162,16.02501,16.08819,15.96053,16.07506,16.42753
Kcnb2,4.116157,4.184586,3.862936,3.969734,4.017767,4.021029
Gm25168,5.252972,5.30808,5.346677,4.887305,4.83095,4.911392
Terf1,8.014609,8.176149,8.079752,8.004125,7.81215,8.081385
Gm23259,5.866002,5.397257,5.419303,5.418225,5.458549,5.118105
Gm7634,5.713797,5.251368,5.022439,5.282313,5.197336,5.692798
Rdh10,6.903824,7.918763,8.553337,7.001133,7.220371,7.064308
Gm7568,4.749942,4.60693,4.739722,4.815709,4.714193,4.66962
D030040B21Rik,4.757838,4.908071,4.779287,4.895247,5.265582,4.788156
Tmem70,9.440603,9.205087,9.387931,9.635797,9.775742,9.586482
Ly96,13.44325,13.12484,13.42304,12.15117,12.62905,12.71454
Gdap1,6.330401,5.679875,6.011691,6.291697,6.555721,6.131563
Gm25166,5.520559,5.719225,5.610025,4.938768,5.587113,5.279
Pi15,9.512674,7.90683,8.371835,8.984389,8.840453,8.558092
Crispld1,7.465336,6.676802,6.86715,7.163027,7.19964,6.909828
Tfap2d,4.259598,4.33639,4.125791,4.453033,4.383249,4.313728
Tfap2b,4.741159,4.839534,4.825364,4.771668,4.521739,4.641826
4930486I03Rik,4.347859,4.255294,4.667989,4.441839,4.486059,4.314704
Mir206,7.658869,9.450729,7.519206,9.211403,9.4947,9.942958
Il17a,4.214918,4.040476,3.921564,3.594971,3.727332,3.992485
Paqr8,5.661924,5.742175,5.513005,5.242107,5.307309,5.389915
Efhc1,5.715167,5.583333,5.729445,5.769342,5.951393,5.625913
Tmem14a,5.542408,5.418551,5.341442,5.537683,5.418171,5.402083
Gsta3,5.014931,5.183487,5.242577,6.988328,6.043555,6.583031
LOC101056100,6.267783,6.73909,7.005854,6.102613,6.488175,6.766433
Khdc1a,5.227473,5.659396,5.681961,5.457831,5.686945,5.38541
Gm16329,4.911341,4.719514,4.953212,4.276042,4.690394,4.943306
Gm16327,4.790814,4.356484,4.52421,4.187324,4.373928,4.578041
Khdc1c,3.294125,3.980953,4.014455,3.678575,3.782229,3.639435
Gm2709,4.605049,4.628368,4.854009,4.201333,4.218883,4.978201
Gm16533,4.713704,4.567556,4.350057,4.345259,4.358068,4.706154
Khdc1b,3.945681,3.453383,4.240391,3.775762,3.883903,3.706353
Gm16328,4.735159,4.531202,4.363224,4.279097,4.406763,4.449064
Gm26580,3.334033,3.427052,3.398435,3.775608,3.769163,3.505181
Gm26866,4.169078,4.332541,4.463186,4.470732,4.534257,4.256066
Gm24176,4.614731,4.275704,3.929539,4.26251,4.317933,4.111301
Mir30a,4.354373,3.788739,4.715912,4.309119,4.233295,4.68269
Mir30c-2,6.962476,7.043963,6.841706,7.362111,7.533421,7.210618
Gm7784,5.46272,5.417665,5.376818,5.896395,5.62566,5.747471
B3gat2,4.638615,4.461161,4.367882,4.569269,4.503138,4.285878
ENSMUSG00000053484,3.125596,3.674837,3.386433,3.267822,3.401364,3.416752
Gm26607,4.981503,4.881798,4.704469,4.673496,4.854168,4.66441
Col9a1,5.061046,4.930837,4.972064,4.93482,5.020408,4.943296
Lmbrd1,10.96412,10.83092,10.76136,10.82861,10.71718,10.71848
Gm15702,4.704847,4.641006,4.449795,4.881013,4.791492,4.802227
Gm25294,5.023777,4.64643,4.520346,4.905427,4.129651,4.332708
Gm9884,4.004247,4.62974,4.315912,4.151675,4.755944,4.26319
Gm24064,3.822758,3.672156,4.080843,3.817388,3.346799,3.07524
Gm5524,3.884385,4.772582,4.344947,4.032179,4.118482,3.998489
Gm6462,5.466684,5.759956,5.526531,5.746204,5.600407,6.022811
Gm22679,6.785492,6.200201,6.510616,6.308371,5.935833,6.209942
Mir6342,3.713252,3.922286,3.866883,3.895591,4.094419,3.855722
