GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Gnai3,29.22142221,23.77385979,14.86979404,26.16018867,27.57348229,26.16322569,26.69066836,35.13142828,45.67083626,38.05139208,27.3889027,29.38193519,27.59020825,24.88735155,29.95341961
Cdc45,1.938862137,1.766058155,2.013617943,2.092815094,2.2169634,1.601830144,0.904768419,2.315251721,2.517290187,2.192792086,1.095556108,1.990011547,0.915857535,1.437935867,2.938826075
H19,1104.874438,1134.216888,547.2393995,940.9296661,941.2395236,1544.297745,936.6162674,1249.732614,1961.688282,1078.07978,802.9208987,753.2779002,750.3162857,719.9634278,752.1134116
Narf,70.90695816,75.5329488,49.72087383,71.99283922,59.44233117,79.55756384,87.58158297,77.6112642,69.4052866,73.78100431,79.61041051,77.61045032,76.81755076,78.09097864,81.49590768
Cav2,13.98750542,14.94356901,9.603408652,14.85898717,13.99458146,22.55910787,18.72870628,35.53408076,8.630709214,51.85308345,21.05902296,22.12424602,22.667474,23.56002614,20.45875075
Klf6,66.47527328,66.15925552,37.32937879,66.34223847,58.88809032,51.12507877,59.71471566,101.1664339,125.1452836,98.41766833,50.88249479,49.51616966,53.692148,46.78822092,47.13424897
Scmh1,28.52897145,28.66448237,14.86979404,28.67156678,24.66371783,24.96185308,24.88113153,26.87705258,6.473031911,26.4424928,29.45828646,25.05073359,27.59020825,29.86482186,29.1621972
Cox5a,119.793982,130.4166023,76.36258816,131.2195064,106.4142432,201.6971123,140.9629197,157.5377801,113.9972842,153.3664583,121.9719133,122.4442399,119.9773371,122.777601,121.8482503
Tbx2,3.046783358,4.61892133,2.942980071,5.650600753,4.156806376,3.604117825,4.433365254,5.838460861,7.192257678,4.901535251,3.530125237,3.980023093,5.609627403,3.871365797,4.29520734
Tbx4,1.246411374,1.630207528,0.619574752,0.837126037,1.524162338,0.800915072,1.357152629,1.509946774,1.078838652,1.547853237,0.973827651,0.936476022,1.259304111,0.774273159,1.130317721
Ngfr,0.692450763,1.222655646,0.464681064,1.255689056,0.55424085,0.800915072,0.542861051,1.20795742,0.719225768,1.031902158,1.825926847,0.936476022,1.373786303,0.884883611,1.356381265
Wnt9a,6.924507633,7.335933877,4.182129574,9.626949431,5.265288076,10.54538178,7.781008404,8.657028173,12.22683805,7.223315107,8.88617732,10.06711724,9.845468503,6.747237532,9.720732401
Fer,23.54332595,21.32854849,14.71490035,24.90449962,18.98274911,18.8215042,25.51446942,23.85715904,15.46335401,22.70184748,20.81556605,18.84657994,20.14886577,20.13110214,20.23268721
Xpo6,75.33864305,76.34805257,41.20172099,75.13206186,74.68395455,63.93971993,52.38609147,67.44428926,88.10515656,71.07226114,63.66398272,57.35915635,58.04247129,62.2736841,54.82040947
Tfe3,14.67995618,15.21527026,9.448514965,13.3940166,16.48866529,12.68115531,14.56677155,15.30079398,23.73445034,17.9293,13.87704403,14.74949735,16.02750687,15.92790499,11.98136784
Axin2,7.062997786,9.917095796,8.674046525,9.83623094,6.928010626,14.4164713,10.67626735,10.06631183,9.349934982,12.3828259,9.738276515,9.481819723,10.87580823,9.401888364,10.73801835
Brat1,9.971290991,9.781245169,6.815322269,11.09192,9.976335301,10.94583932,9.409591559,13.69018409,17.9806442,11.22193597,9.251362689,11.82300978,10.18891508,11.28226604,10.39892303
Gna12,35.45347908,34.64190997,24.78299007,43.11199093,36.16421547,42.98244221,41.07648623,51.94216904,95.29741424,53.78789999,45.40471425,48.11145563,51.40250416,44.90784324,48.37759846
Pih1d2,0.276980305,1.358506273,0.309787376,0.837126037,0.692801063,0.667429227,1.085722103,1.107294301,1.078838652,0.25797554,0.365185369,1.404714033,0.343446576,0.995494062,1.243349493
Dlat,108.1608092,114.114527,70.6315217,96.26949431,89.09421665,186.479726,130.8295134,163.2755779,122.2683805,202.6397863,106.8775848,107.2265045,110.5897974,92.80216867,105.1195481
Sdhd,113.2849449,109.9031575,79.15067454,109.4542294,95.190866,177.9366319,113.5484366,125.124256,96.01664001,158.7839446,102.4953603,108.8653376,111.1622083,104.9693183,118.3442654
Fgf6,3.046783358,2.309460665,1.548936879,2.720659622,2.632644038,4.004575361,3.528596834,2.214588602,1.79806442,2.450767626,4.382224432,3.160606574,3.205501373,4.424418054,2.938826075
Ccnd2,22.01993427,19.69834096,13.01106979,15.27755018,16.07298465,22.15865033,26.96209889,36.23872259,33.80361109,35.08467338,24.95433357,31.37194674,30.56674524,30.19665322,31.76192796
